vendor_id,is_anomaly,anomaly_type,severity,expired_certifications,explanation
VND-0278,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0279,True,ELEVATED_RISK_VENDOR,LOW,,Vendor shows moderate risk but not critical yet.
VND-0280,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0281,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Vendor experienced a breach and still has access to highly sensitive customer data.
VND-0282,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0283,True,EXPIRED_CERTIFICATION,MEDIUM,"SOC2,ISO27001","Vendor holds expired compliance certifications, increasing risk exposure."
VND-0284,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0285,False,NONE,LOW,,No notable anomaly detected.
VND-0286,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0287,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0288,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0289,True,ELEVATED_RISK_VENDOR,LOW,,Risk score indicates elevated risk that should be monitored.
VND-0290,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0291,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0292,True,ELEVATED_RISK_VENDOR,LOW,,Vendor shows moderate risk but not critical yet.
VND-0293,False,NONE,LOW,,No notable anomaly detected.
VND-0294,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0295,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0296,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0297,True,ELEVATED_RISK_VENDOR,LOW,,Vendor shows moderate risk but not critical yet.
VND-0298,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Pending investigation due to recent operational concerns.
VND-0299,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0300,False,NONE,LOW,,No notable anomaly detected.
VND-0301,True,ELEVATED_RISK_VENDOR,LOW,,Risk score indicates elevated risk that should be monitored.
VND-0302,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0303,True,RECENTLY_BREACHED_VENDOR,MEDIUM,,Vendor reported a recent breach and is still integrated with systems.
VND-0304,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0305,False,NONE,LOW,,No notable anomaly detected.
VND-0306,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0307,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0308,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0309,True,EXPIRED_CERTIFICATION,HIGH,SOC2,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0310,False,NONE,LOW,,No notable anomaly detected.
VND-0311,False,NONE,LOW,,No notable anomaly detected.
VND-0312,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0313,False,NONE,LOW,,No notable anomaly detected.
VND-0314,False,NONE,LOW,,No notable anomaly detected.
VND-0315,True,ELEVATED_RISK_VENDOR,LOW,,Risk score indicates elevated risk that should be monitored.
VND-0316,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Critical certification has expired and needs immediate renewal.
VND-0317,True,EXPIRED_CERTIFICATION,HIGH,SOC2,Critical certification has expired and needs immediate renewal.
VND-0318,False,NONE,LOW,,No notable anomaly detected.
VND-0319,True,ELEVATED_RISK_VENDOR,LOW,,Risk score indicates elevated risk that should be monitored.
VND-0320,False,NONE,LOW,,No notable anomaly detected.
VND-0321,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Critical certification has expired and needs immediate renewal.
VND-0322,False,NONE,LOW,,No notable anomaly detected.
VND-0323,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0324,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0325,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0326,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0327,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor currently under investigation for compliance gaps.
VND-0328,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Critical certification has expired and needs immediate renewal.
VND-0329,True,EXPIRED_CERTIFICATION,HIGH,"SOC2,ISO27001",Critical certification has expired and needs immediate renewal.
VND-0330,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0331,True,ELEVATED_RISK_VENDOR,LOW,,Risk score indicates elevated risk that should be monitored.
VND-0332,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Pending investigation due to recent operational concerns.
VND-0333,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0334,False,NONE,LOW,,No notable anomaly detected.
VND-0335,False,NONE,LOW,,No notable anomaly detected.
VND-0336,True,EXPIRED_CERTIFICATION,MEDIUM,"SOC2,ISO27001",Critical certification has expired and needs immediate renewal.
VND-0337,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor currently under investigation for compliance gaps.
VND-0338,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0339,True,RECENTLY_BREACHED_VENDOR,MEDIUM,,Vendor reported a recent breach and is still integrated with systems.
VND-0340,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0341,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Pending investigation due to recent operational concerns.
VND-0342,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0343,False,NONE,LOW,,No notable anomaly detected.
VND-0344,True,ELEVATED_RISK_VENDOR,LOW,,Risk score indicates elevated risk that should be monitored.
VND-0345,False,NONE,LOW,,No notable anomaly detected.
VND-0346,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor currently under investigation for compliance gaps.
VND-0347,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0348,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0349,False,NONE,LOW,,No notable anomaly detected.
VND-0350,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0351,True,ELEVATED_RISK_VENDOR,LOW,,Vendor shows moderate risk but not critical yet.
VND-0352,False,NONE,LOW,,No notable anomaly detected.
VND-0353,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0354,True,ELEVATED_RISK_VENDOR,LOW,,Vendor shows moderate risk but not critical yet.
VND-0355,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0356,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0357,False,NONE,LOW,,No notable anomaly detected.
VND-0358,True,ELEVATED_RISK_VENDOR,LOW,,Vendor shows moderate risk but not critical yet.
VND-0359,True,ELEVATED_RISK_VENDOR,LOW,,Vendor shows moderate risk but not critical yet.
VND-0360,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0361,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0362,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Critical certification has expired and needs immediate renewal.
VND-0363,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Critical certification has expired and needs immediate renewal.
VND-0364,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Critical certification has expired and needs immediate renewal.
VND-0365,False,NONE,LOW,,No notable anomaly detected.
VND-0366,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0367,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Pending investigation due to recent operational concerns.
VND-0368,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0369,True,ELEVATED_RISK_VENDOR,LOW,,Risk score indicates elevated risk that should be monitored.
VND-0370,False,NONE,LOW,,No notable anomaly detected.
VND-0371,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Critical certification has expired and needs immediate renewal.
VND-0372,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0373,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0374,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Critical certification has expired and needs immediate renewal.
VND-0375,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0376,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor currently under investigation for compliance gaps.
VND-0377,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0378,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0379,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor currently under investigation for compliance gaps.
VND-0380,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0381,True,ELEVATED_RISK_VENDOR,LOW,,Vendor shows moderate risk but not critical yet.
VND-0382,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor currently under investigation for compliance gaps.
VND-0383,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor currently under investigation for compliance gaps.
VND-0384,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Critical certification has expired and needs immediate renewal.
VND-0385,True,EXPIRED_CERTIFICATION,MEDIUM,"SOC2,ISO27001",Critical certification has expired and needs immediate renewal.
VND-0386,False,NONE,LOW,,No notable anomaly detected.
VND-0387,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0388,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0389,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0390,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0391,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0392,False,NONE,LOW,,No notable anomaly detected.
VND-0393,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0394,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0395,True,ELEVATED_RISK_VENDOR,LOW,,Vendor shows moderate risk but not critical yet.
VND-0396,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0397,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Critical certification has expired and needs immediate renewal.
VND-0398,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0399,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0400,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,"Vendor holds expired compliance certifications, increasing risk exposure."
